id;ime;priimek;spol;delovno_mesto;id_poslovalnice;id_zaposlenega;geslo
1;Luka;Bizjak;Moški;Prodajalec;1003;2634;6359
2;Teja;Rolih;Ženski;Izmenovodja;1004;9254;6653
3;Erik;Košir;Moški;Prodajalec;1003;6440;8319
4;Žan;Bizjak;Moški;Prodajalec;1004;2483;6900
5;Lea;Kotnik;Ženski;Izmenovodja;1007;4794;8878
6;Erik;Korošec;Moški;Izmenovodja;1008;9789;3781
7;Gregor;Rolih;Moški;Prodajalec;1002;4365;8060
8;Luka;Medved;Moški;Prodajalec;1007;6364;7851
9;Gašper;Turk;Moški;Prodajalec;1010;4932;3477
10;Žan;Vidmar;Moški;Prodajalec;1001;9799;6917
11;Sara;Bregar;Ženski;Prodajalka;1006;9455;8197
12;Aleš;Turk;Moški;Prodajalec;1005;8674;7033
13;Rok;Kastelic;Moški;Prodajalec;1005;2099;9997
14;Anže;Rozman;Moški;Prodajalec;1009;6557;8423
15;Erik;Kumer;Moški;Prodajalec;1002;9012;8336
16;Špela;Medved;Ženski;Prodajalka;1008;3275;6756
17;Marko;Rolih;Moški;Prodajalec;1009;5936;6495
18;Blaž;Rolih;Moški;Prodajalec;1007;3104;1660
19;Lucija;Rolih;Ženski;Prodajalka;1001;4983;7706
20;Nina;Horvat;Ženski;Poslovodja;1010;3767;8820
21;Nejc;Knez;Moški;Prodajalec;1005;2590;6820
22;Maja;Mlakar;Ženski;Prodajalka;1001;4951;8992
23;Erik;Golob;Moški;Prodajalec;1007;2289;9969
24;Simon;Korošec;Moški;Prodajalec;1002;5250;2292
25;Marko;Rolih;Moški;Poslovodja;1004;1934;2915
26;Ana;Horvat;Ženski;Prodajalka;1006;4660;1358
27;Teja;Korošec;Ženski;Poslovodja;1003;9027;6780
28;Vita;Rolih;Ženski;Prodajalka;1007;1949;4606
29;Zala;Golob;Ženski;Prodajalka;1007;9862;9422
30;Aljaž;Rolih;Moški;Poslovodja;1008;6132;6410
31;Simon;Medved;Moški;Prodajalec;1005;4207;5458
32;Neža;Turk;Ženski;Prodajalka;1010;8629;8532
33;Urban;Bizjak;Moški;Poslovodja;1006;8611;2526
34;Gregor;Medved;Moški;Prodajalec;1002;1519;6134
35;Maša;Krajnc;Ženski;Prodajalka;1004;9312;6396
36;Eva;Knez;Ženski;Izmenovodja;1004;7183;4953
37;Jan;Krajnc;Moški;Poslovodja;1007;8214;4477
38;Simon;Kastelic;Moški;Prodajalec;1005;5830;9967
39;Jan;Rolih;Moški;Prodajalec;1010;7043;3110
40;Anže;Rolih;Moški;Prodajalec;1008;6391;8037
41;Ana;Vidmar;Ženski;Izmenovodja;1003;6923;4571
42;Jan;Mlakar;Moški;Izmenovodja;1009;3463;1630
43;Rok;Rolih;Moški;Prodajalec;1007;2128;9901
44;Tina;Mlakar;Ženski;Izmenovodja;1001;1674;3245
45;Špela;Kastelic;Ženski;Prodajalka;1007;8729;9960
46;Simon;Kolar;Moški;Prodajalec;1010;5667;1023
47;Urban;Kos;Moški;Prodajalec;1003;6262;7224
48;Urška;Kos;Ženski;Prodajalka;1006;3583;3118
49;Žan;Medved;Moški;Prodajalec;1007;9602;8656
50;Nika;Petek;Ženski;Prodajalka;1009;6407;1625
51;Nejc;Rolih;Moški;Prodajalec;1007;2895;5615
52;Luka;Golob;Moški;Prodajalec;1008;4744;3796
53;Vita;Petek;Ženski;Poslovodja;1005;9754;7736
54;Katja;Kolar;Ženski;Prodajalka;1008;7454;1461
55;Vita;Kolar;Ženski;Prodajalka;1003;5869;5448
56;Iza;Petek;Ženski;Prodajalka;1002;5139;3821
57;Aljaž;Golob;Moški;Prodajalec;1007;3943;1907
58;Rok;Krajnc;Moški;Prodajalec;1005;2350;7456
59;Marko;Krajnc;Moški;Prodajalec;1001;3203;8391
60;Simon;Rolih;Moški;Prodajalec;1007;5824;5010
61;Kaja;Mlakar;Ženski;Prodajalka;1007;9515;9122
62;Miha;Rolih;Moški;Izmenovodja;1010;4245;4905
63;Mia;Kastelic;Ženski;Prodajalka;1007;4149;8175
64;Vita;Bregar;Ženski;Izmenovodja;1001;8626;1827
65;Ana;Knez;Ženski;Prodajalka;1001;6983;1258
66;Petra;Kotnik;Ženski;Prodajalka;1004;8642;6433
67;Ajda;Rozman;Ženski;Prodajalka;1005;1152;4168
68;Ana;Kotnik;Ženski;Izmenovodja;1005;4635;3131
69;Erik;Knez;Moški;Prodajalec;1003;4642;5933
70;Lucija;Kolar;Ženski;Prodajalka;1009;2757;2175
71;Erik;Rolih;Moški;Prodajalec;1001;9083;7683
72;Urška;Rolih;Ženski;Prodajalka;1001;7264;4733
73;Gašper;Kumer;Moški;Prodajalec;1010;4987;2505
74;Špela;Zajc;Ženski;Prodajalka;1010;7176;4535
75;Sara;Kotnik;Ženski;Prodajalka;1005;2365;5875
76;Lucija;Knez;Ženski;Prodajalka;1008;3537;1356
77;Tilen;Rolih;Moški;Prodajalec;1008;8086;3060
78;Rok;Hribar;Moški;Prodajalec;1001;2112;1917
79;Lea;Rolih;Ženski;Prodajalka;1006;6446;6598
80;Katja;Kos;Ženski;Prodajalka;1003;6019;6852
81;Nejc;Rolih;Moški;Prodajalec;1001;9105;6282
82;Mia;Medved;Ženski;Izmenovodja;1009;7084;4543
83;Aljaž;Rolih;Moški;Prodajalec;1002;8955;9876
84;Tina;Rolih;Ženski;Prodajalka;1010;6250;2772
85;Katja;Bizjak;Ženski;Prodajalka;1001;3774;3444
86;Maja;Bizjak;Ženski;Prodajalka;1003;4622;7407
87;Ema;Rozman;Ženski;Prodajalka;1008;2556;4750
88;Aleš;Mlakar;Moški;Prodajalec;1006;9509;7493
89;Nik;Bizjak;Moški;Prodajalec;1003;3821;1782
90;Blaž;Rozman;Moški;Prodajalec;1001;6232;7037
91;Matej;Rozman;Moški;Izmenovodja;1006;7794;5486
92;Kaja;Korošec;Ženski;Prodajalka;1005;7888;7984
93;Maša;Knez;Ženski;Prodajalka;1001;2291;5598
94;Sara;Krajnc;Ženski;Prodajalka;1005;6524;3942
95;Anže;Mlakar;Moški;Prodajalec;1008;2029;3570
96;Nika;Golob;Ženski;Prodajalka;1001;6271;1886
97;Luka;Krajnc;Moški;Prodajalec;1002;2312;4062
98;Lara;Golob;Ženski;Izmenovodja;1007;8526;4950
99;Maja;Bregar;Ženski;Prodajalka;1005;5178;9277
100;Gregor;Hrovat;Moški;Prodajalec;1010;2093;4590
101;Ajda;Rozman;Ženski;Prodajalka;1004;8046;1075
102;Lara;Kolar;Ženski;Prodajalka;1008;7054;2517
103;Vita;Rolih;Ženski;Prodajalka;1006;3600;8658
104;Marcel;Kolar;Moški;Prodajalec;1004;5161;1438
105;David;Bregar;Moški;Izmenovodja;1010;3953;2478
106;Eva;Kolar;Ženski;Prodajalka;1003;7560;9014
107;Matej;Kastelic;Moški;Prodajalec;1001;9401;6262
108;Maja;Medved;Ženski;Prodajalka;1007;1253;3315
109;Nik;Novak;Moški;Izmenovodja;1006;2067;6779
110;Jure;Zajc;Moški;Prodajalec;1005;8221;8483
111;Ajda;Medved;Ženski;Prodajalka;1005;2184;7011
112;Urban;Kolar;Moški;Izmenovodja;1002;4960;5398
113;Matej;Petek;Moški;Prodajalec;1008;5306;2676
114;Ema;Hribar;Ženski;Prodajalka;1004;9684;6847
115;Lucija;Rolih;Ženski;Prodajalka;1001;6450;3155
116;Žan;Golob;Moški;Prodajalec;1004;2418;4125
117;Marko;Rolih;Moški;Prodajalec;1008;3132;9831
118;Anže;Korošec;Moški;Prodajalec;1005;5795;9757
119;Tilen;Bregar;Moški;Prodajalec;1001;1082;1278
120;Neža;Medved;Ženski;Prodajalka;1005;7926;2415
121;Katja;Rolih;Ženski;Poslovodja;1002;5598;8482
122;Matej;Krajnc;Moški;Prodajalec;1003;2527;8414
123;Nejc;Korošec;Moški;Prodajalec;1004;7862;8747
124;Maša;Rolih;Ženski;Prodajalka;1003;9826;9847
125;Rok;Hribar;Moški;Prodajalec;1005;2169;7125
126;Anže;Medved;Moški;Prodajalec;1009;5658;8624
127;Iza;Hrovat;Ženski;Prodajalka;1006;6246;9445
128;Lucija;Novak;Ženski;Izmenovodja;1003;3552;8651
129;Vita;Korošec;Ženski;Poslovodja;1009;8334;1558
130;Eva;Krajnc;Ženski;Prodajalka;1003;2377;1641
131;Tilen;Korošec;Moški;Prodajalec;1008;1445;7445
132;Lucija;Rolih;Ženski;Prodajalka;1010;2328;7807
133;Nik;Rolih;Moški;Prodajalec;1003;7247;5112
134;Simon;Hribar;Moški;Prodajalec;1005;3164;9883
135;Žan;Rolih;Moški;Prodajalec;1001;3795;2585
136;Tina;Kastelic;Ženski;Prodajalka;1010;1168;2442
137;Gregor;Golob;Moški;Prodajalec;1002;5866;6033
138;Matej;Kumer;Moški;Prodajalec;1003;3790;9016
139;Gašper;Košir;Moški;Prodajalec;1003;5273;2763
140;Neža;Rolih;Ženski;Prodajalka;1005;4563;1721
141;Tina;Korošec;Ženski;Prodajalka;1007;5750;5857
142;Tina;Kolar;Ženski;Prodajalka;1009;5447;3858
143;Ana;Kumer;Ženski;Prodajalka;1009;9362;7300
144;Tina;Kos;Ženski;Prodajalka;1005;6055;4465
145;Žan;Korošec;Moški;Prodajalec;1008;4205;6551
146;Erik;Kastelic;Moški;Poslovodja;1001;8519;8568
147;Klemen;Vidmar;Moški;Prodajalec;1005;2036;3391
148;David;Zajc;Moški;Prodajalec;1009;1969;3804
149;Špela;Turk;Ženski;Prodajalka;1005;9957;5052
150;Urška;Kotnik;Ženski;Prodajalka;1004;1032;4727
151;Eva;Turk;Ženski;Prodajalka;1004;9209;8032
152;Aljaž;Horvat;Moški;Prodajalec;1008;6080;8365
153;Sara;Rolih;Ženski;Prodajalka;1004;2687;6476
154;Lucija;Krajnc;Ženski;Prodajalka;1009;4379;7062
155;Neža;Kotnik;Ženski;Prodajalka;1001;2156;3258
156;Jan;Kolar;Moški;Prodajalec;1008;3657;8042
157;Mia;Zajc;Ženski;Prodajalka;1007;8052;7266
158;Ema;Golob;Ženski;Prodajalka;1002;8364;6121
159;Sara;Mlakar;Ženski;Prodajalka;1001;6709;5944
160;Erik;Kolar;Moški;Prodajalec;1001;1413;6855
161;Miha;Kotnik;Moški;Prodajalec;1010;9749;4126
162;Ema;Bizjak;Ženski;Prodajalka;1009;4445;2328
163;Eva;Bizjak;Ženski;Prodajalka;1001;1339;7968
164;Anže;Turk;Moški;Prodajalec;1006;5281;7729
165;Lucija;Rolih;Ženski;Prodajalka;1005;9708;6532
166;Jan;Mlakar;Moški;Prodajalec;1007;9123;3305
